"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"11. ","Broder Designs LLC","(850) 566-7146","https://www.yellowpages.com/tallahassee-fl/mip/broder-designs-llc-476326931","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Tile-Contractors & Dealers","","","1020 Sutor Rd","Tallahassee","FL","32311","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"12. ","Kitch-Encounters","(850) 386-6555","https://www.yellowpages.com/tallahassee-fl/mip/kitch-encounters-7551612","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.kitch-encounters.com","","2740 Capital Cir NE","Tallahassee","FL","32308","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"13. ","Kitchen Tune-up","(850) 364-1085","https://www.yellowpages.com/tallahassee-fl/mip/kitchen-tune-up-478371545","Bathroom Remodeling,Kitchen Cabinets-Refinishing, Refacing & Resurfacing,Kitchen Accessories","http://www.kitchentuneup.com","","Tallahassee FL","Tallahassee","FL","32333","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"14. ","Sears Home Services","(877) 205-5859","https://www.yellowpages.com/tallahassee-fl/mip/sears-home-services-468635073","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","http://www.searshomeservices.com","","","Tallahassee","FL","32301","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"15. ","Worley Construction Inc","(850) 668-3438","https://www.yellowpages.com/tallahassee-fl/mip/worley-construction-inc-10148260","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.worleyconst.com","","10080 Buck Point Rd","Tallahassee","FL","32312","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"16. ","Bass R E Construction Inc","(850) 222-0303","https://www.yellowpages.com/tallahassee-fl/mip/bass-r-e-construction-inc-9973283","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.rebci.com","","1144 E Tennessee St","Tallahassee","FL","32308","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"17. ","Concept Construction Group","(850) 692-3502","https://www.yellowpages.com/tallahassee-fl/mip/concept-construction-group-506402395","Bathroom Remodeling,Kitchen Planning & Remodeling Service,General Contractors","http://www.ccgcontracting.com/contact","","227 E 6th Ave","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"18. ","A Blind Decor","(850) 894-9434","https://www.yellowpages.com/tallahassee-fl/mip/a-blind-decor-497871274","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","1408 Capital Cir NE Ste 10","Tallahassee","FL","32308","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"19. ","Dion Edward G Ofc","(850) 386-5664","https://www.yellowpages.com/tallahassee-fl/mip/dion-edward-g-ofc-547642145","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Building Specialties","","","1105 Lothian Dr","Tallahassee","FL","32312","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"20. ","Trudeau Construction Inc","(850) 894-8914","https://www.yellowpages.com/tallahassee-fl/mip/trudeau-construction-inc-7480480","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.trudeaufinehomes.com","","1615 Village Square Blvd","Tallahassee","FL","32309","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"21. ","H & H Construction & Restoration Services, Inc.","(850) 562-5498","https://www.yellowpages.com/tallahassee-fl/mip/h-h-construction-restoration-services-inc-475170214","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","https://remodeltallahassee.com","","5350 Capital Cir NW","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"22. ","Legacy Construction Services Group","(850) 559-8799","https://www.yellowpages.com/tallahassee-fl/mip/legacy-construction-services-group-495564549","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Repair & Maintenance","","","8490 Cabin Hill Rd","Tallahassee","FL","32311","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"23. ","Bentz Construction","(850) 509-4693","https://www.yellowpages.com/tallahassee-fl/mip/bentz-construction-464438570","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","8338 Hunters Ridge Trl","Tallahassee","FL","32312","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"24. ","KLL Contracting LLC","(850) 508-5138","https://www.yellowpages.com/tallahassee-fl/mip/kll-contracting-llc-28770824","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Deck Builders","http://www.kllcontracting.com","","1142 Jeffery Rd","Tallahassee","FL","32312","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"25. ","Robertson Construction Inc","(850) 251-7788","https://www.yellowpages.com/tallahassee-fl/mip/robertson-construction-inc-480741954","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://www.robertsonconstructioninc.com","","1286 Jeffery Rd","Tallahassee","FL","32312","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"26. ","Capital City Builders","(850) 893-6228","https://www.yellowpages.com/tallahassee-fl/mip/capital-city-builders-6300515","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Altering & Remodeling Contractors","http://capitalcitybuilders.net","","10143 Thousand Oaks Cir","Tallahassee","FL","32309","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"27. ","Casey Kidd Refinishing","(850) 510-9902","https://www.yellowpages.com/tallahassee-fl/mip/casey-kidd-refinishing-481428522","Bathroom Remodeling,Bathtubs & Sinks-Repair & Refinish,Tile-Cleaning, Refinishing & Sealing","","","","Tallahassee","FL","32309","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"28. ","Intrepid Property Solutions, LLC","(850) 778-7259","https://www.yellowpages.com/tallahassee-fl/mip/intrepid-property-solutions-llc-28836933","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Repair & Maintenance","","","","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"29. ","N-Hance of Tallahassee","(850) 446-0545","https://www.yellowpages.com/nationwide/mip/n-hance-of-tallahassee-556445687","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Cabinets","https://www.nhance.com/tallahassee","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
"30. ","BBJ Home Improvements","(850) 491-5463","https://www.yellowpages.com/nationwide/mip/bbj-home-improvements-503962625","Bathroom Remodeling,Kitchen Planning & Remodeling Service,Home Improvements","","","","","","","https://www.yellowpages.com/search?search_terms=Kitchen%20or%20Bathroom%20Remodeling&geo_location_terms=Tallahassee,%20Florida"
